,name,raw_org,raw_dest,p,handshake
20,N_10_PL_0.25_R_0.5_V_15,"13, 39, 41, 0, 0, 24, 33, 27, 0, 0","0, 0, 3, 10, 30, 41, 0, 0, 3, 8",1,0
21,N_10_PL_0.25_R_0.5_V_15,"13, 39, 41, 0, 0, 24, 33, 27, 0, 0","0, 0, 3, 10, 30, 41, 0, 0, 3, 8",5,0
22,N_10_PL_0.25_R_0.5_V_15,"13, 39, 41, 0, 0, 24, 33, 27, 0, 0","0, 0, 3, 10, 30, 41, 0, 0, 3, 8",10,0
23,N_10_PL_0.25_R_0.5_V_15,"13, 39, 41, 0, 0, 24, 33, 27, 0, 0","0, 0, 3, 10, 30, 41, 0, 0, 3, 8",20,0
24,N_10_PL_0.25_R_0.5_V_16,"0, 39, 20, 0, 9, 25, 41, 14, 0, 41","15, 0, 0, 28, 0, 0, 38, 0, 4, 36",1,0
25,N_10_PL_0.25_R_0.5_V_16,"0, 39, 20, 0, 9, 25, 41, 14, 0, 41","15, 0, 0, 28, 0, 0, 38, 0, 4, 36",5,0
26,N_10_PL_0.25_R_0.5_V_16,"0, 39, 20, 0, 9, 25, 41, 14, 0, 41","15, 0, 0, 28, 0, 0, 38, 0, 4, 36",10,0
27,N_10_PL_0.25_R_0.5_V_16,"0, 39, 20, 0, 9, 25, 41, 14, 0, 41","15, 0, 0, 28, 0, 0, 38, 0, 4, 36",20,0
28,N_10_PL_0.25_R_0.5_V_17,"3, 10, 16, 11, 0, 0, 0, 14, 41, 0","0, 41, 0, 0, 4, 32, 7, 0, 15, 1",1,0
29,N_10_PL_0.25_R_0.5_V_17,"3, 10, 16, 11, 0, 0, 0, 14, 41, 0","0, 41, 0, 0, 4, 32, 7, 0, 15, 1",5,0
30,N_10_PL_0.25_R_0.5_V_17,"3, 10, 16, 11, 0, 0, 0, 14, 41, 0","0, 41, 0, 0, 4, 32, 7, 0, 15, 1",10,0
31,N_10_PL_0.25_R_0.5_V_17,"3, 10, 16, 11, 0, 0, 0, 14, 41, 0","0, 41, 0, 0, 4, 32, 7, 0, 15, 1",20,0
32,N_10_PL_0.25_R_0.5_V_18,"7, 41, 6, 17, 38, 0, 35, 0, 0, 0","41, 16, 0, 0, 0, 2, 0, 27, 18, 11",1,0
33,N_10_PL_0.25_R_0.5_V_18,"7, 41, 6, 17, 38, 0, 35, 0, 0, 0","41, 16, 0, 0, 0, 2, 0, 27, 18, 11",5,0
34,N_10_PL_0.25_R_0.5_V_18,"7, 41, 6, 17, 38, 0, 35, 0, 0, 0","41, 16, 0, 0, 0, 2, 0, 27, 18, 11",10,0
35,N_10_PL_0.25_R_0.5_V_18,"7, 41, 6, 17, 38, 0, 35, 0, 0, 0","41, 16, 0, 0, 0, 2, 0, 27, 18, 11",20,0
36,N_10_PL_0.25_R_0.5_V_19,"0, 4, 39, 0, 0, 32, 4, 0, 14, 0","9, 41, 41, 14, 23, 0, 0, 8, 0, 8",1,0
37,N_10_PL_0.25_R_0.5_V_19,"0, 4, 39, 0, 0, 32, 4, 0, 14, 0","9, 41, 41, 14, 23, 0, 0, 8, 0, 8",5,0
38,N_10_PL_0.25_R_0.5_V_19,"0, 4, 39, 0, 0, 32, 4, 0, 14, 0","9, 41, 41, 14, 23, 0, 0, 8, 0, 8",10,0
39,N_10_PL_0.25_R_0.5_V_19,"0, 4, 39, 0, 0, 32, 4, 0, 14, 0","9, 41, 41, 14, 23, 0, 0, 8, 0, 8",20,0
40,N_10_PL_0.25_R_0.75_V_15,"0, 41, 28, 26, 0, 21, 19, 12, 15, 31","8, 13, 0, 0, 38, 0, 41, 0, 0, 0",1,0
41,N_10_PL_0.25_R_0.75_V_15,"0, 41, 28, 26, 0, 21, 19, 12, 15, 31","8, 13, 0, 0, 38, 0, 41, 0, 0, 0",5,0
42,N_10_PL_0.25_R_0.75_V_15,"0, 41, 28, 26, 0, 21, 19, 12, 15, 31","8, 13, 0, 0, 38, 0, 41, 0, 0, 0",10,0
43,N_10_PL_0.25_R_0.75_V_15,"0, 41, 28, 26, 0, 21, 19, 12, 15, 31","8, 13, 0, 0, 38, 0, 41, 0, 0, 0",20,0
44,N_10_PL_0.25_R_0.75_V_16,"33, 22, 38, 41, 4, 22, 16, 7, 0, 0","0, 0, 0, 36, 0, 0, 41, 0, 36, 6",1,0
45,N_10_PL_0.25_R_0.75_V_16,"33, 22, 38, 41, 4, 22, 16, 7, 0, 0","0, 0, 0, 36, 0, 0, 41, 0, 36, 6",5,0
46,N_10_PL_0.25_R_0.75_V_16,"33, 22, 38, 41, 4, 22, 16, 7, 0, 0","0, 0, 0, 36, 0, 0, 41, 0, 36, 6",10,0
47,N_10_PL_0.25_R_0.75_V_16,"33, 22, 38, 41, 4, 22, 16, 7, 0, 0","0, 0, 0, 36, 0, 0, 41, 0, 36, 6",20,0
48,N_10_PL_0.25_R_0.75_V_17,"28, 6, 2, 17, 16, 0, 0, 4, 0, 17","41, 0, 0, 0, 0, 40, 19, 0, 17, 41",1,0
49,N_10_PL_0.25_R_0.75_V_17,"28, 6, 2, 17, 16, 0, 0, 4, 0, 17","41, 0, 0, 0, 0, 40, 19, 0, 17, 41",5,0
50,N_10_PL_0.25_R_0.75_V_17,"28, 6, 2, 17, 16, 0, 0, 4, 0, 17","41, 0, 0, 0, 0, 40, 19, 0, 17, 41",10,0
51,N_10_PL_0.25_R_0.75_V_17,"28, 6, 2, 17, 16, 0, 0, 4, 0, 17","41, 0, 0, 0, 0, 40, 19, 0, 17, 41",20,0
52,N_10_PL_0.25_R_0.75_V_18,"36, 24, 0, 24, 0, 29, 0, 33, 33, 6","41, 0, 16, 0, 14, 0, 16, 0, 41, 0",1,0
53,N_10_PL_0.25_R_0.75_V_18,"36, 24, 0, 24, 0, 29, 0, 33, 33, 6","41, 0, 16, 0, 14, 0, 16, 0, 41, 0",5,0
54,N_10_PL_0.25_R_0.75_V_18,"36, 24, 0, 24, 0, 29, 0, 33, 33, 6","41, 0, 16, 0, 14, 0, 16, 0, 41, 0",10,0
55,N_10_PL_0.25_R_0.75_V_18,"36, 24, 0, 24, 0, 29, 0, 33, 33, 6","41, 0, 16, 0, 14, 0, 16, 0, 41, 0",20,0
56,N_10_PL_0.25_R_0.75_V_19,"41, 26, 37, 21, 39, 0, 0, 20, 33, 30","3, 0, 41, 0, 0, 22, 35, 0, 0, 0",1,0
57,N_10_PL_0.25_R_0.75_V_19,"41, 26, 37, 21, 39, 0, 0, 20, 33, 30","3, 0, 41, 0, 0, 22, 35, 0, 0, 0",5,0
58,N_10_PL_0.25_R_0.75_V_19,"41, 26, 37, 21, 39, 0, 0, 20, 33, 30","3, 0, 41, 0, 0, 22, 35, 0, 0, 0",10,0
59,N_10_PL_0.25_R_0.75_V_19,"41, 26, 37, 21, 39, 0, 0, 20, 33, 30","3, 0, 41, 0, 0, 22, 35, 0, 0, 0",20,0
60,N_10_PL_0.5_R_0.25_V_15,"0, 0, 41, 37, 41, 41, 41, 10, 41, 0","5, 27, 28, 0, 30, 28, 17, 0, 39, 5",1,0
61,N_10_PL_0.5_R_0.25_V_15,"0, 0, 41, 37, 41, 41, 41, 10, 41, 0","5, 27, 28, 0, 30, 28, 17, 0, 39, 5",5,0
62,N_10_PL_0.5_R_0.25_V_15,"0, 0, 41, 37, 41, 41, 41, 10, 41, 0","5, 27, 28, 0, 30, 28, 17, 0, 39, 5",10,0
63,N_10_PL_0.5_R_0.25_V_15,"0, 0, 41, 37, 41, 41, 41, 10, 41, 0","5, 27, 28, 0, 30, 28, 17, 0, 39, 5",20,0
64,N_10_PL_0.5_R_0.25_V_16,"22, 41, 0, 0, 41, 0, 0, 23, 41, 41","0, 15, 31, 22, 1, 36, 4, 41, 11, 17",1,0
65,N_10_PL_0.5_R_0.25_V_16,"22, 41, 0, 0, 41, 0, 0, 23, 41, 41","0, 15, 31, 22, 1, 36, 4, 41, 11, 17",5,0
66,N_10_PL_0.5_R_0.25_V_16,"22, 41, 0, 0, 41, 0, 0, 23, 41, 41","0, 15, 31, 22, 1, 36, 4, 41, 11, 17",10,0
67,N_10_PL_0.5_R_0.25_V_16,"22, 41, 0, 0, 41, 0, 0, 23, 41, 41","0, 15, 31, 22, 1, 36, 4, 41, 11, 17",20,0
68,N_10_PL_0.5_R_0.25_V_17,"0, 41, 41, 41, 0, 30, 41, 0, 0, 9","36, 12, 6, 10, 12, 0, 13, 17, 20, 41",1,0
69,N_10_PL_0.5_R_0.25_V_17,"0, 41, 41, 41, 0, 30, 41, 0, 0, 9","36, 12, 6, 10, 12, 0, 13, 17, 20, 41",5,0
70,N_10_PL_0.5_R_0.25_V_17,"0, 41, 41, 41, 0, 30, 41, 0, 0, 9","36, 12, 6, 10, 12, 0, 13, 17, 20, 41",10,0
71,N_10_PL_0.5_R_0.25_V_17,"0, 41, 41, 41, 0, 30, 41, 0, 0, 9","36, 12, 6, 10, 12, 0, 13, 17, 20, 41",20,0
72,N_10_PL_0.5_R_0.25_V_18,"41, 0, 0, 41, 9, 0, 41, 38, 41, 0","17, 6, 3, 38, 0, 29, 15, 41, 30, 12",1,0
73,N_10_PL_0.5_R_0.25_V_18,"41, 0, 0, 41, 9, 0, 41, 38, 41, 0","17, 6, 3, 38, 0, 29, 15, 41, 30, 12",5,0
74,N_10_PL_0.5_R_0.25_V_18,"41, 0, 0, 41, 9, 0, 41, 38, 41, 0","17, 6, 3, 38, 0, 29, 15, 41, 30, 12",10,0
75,N_10_PL_0.5_R_0.25_V_18,"41, 0, 0, 41, 9, 0, 41, 38, 41, 0","17, 6, 3, 38, 0, 29, 15, 41, 30, 12",20,0
76,N_10_PL_0.5_R_0.25_V_19,"41, 0, 41, 41, 0, 0, 26, 30, 0, 41","11, 18, 34, 23, 39, 17, 41, 0, 28, 6",1,0
77,N_10_PL_0.5_R_0.25_V_19,"41, 0, 41, 41, 0, 0, 26, 30, 0, 41","11, 18, 34, 23, 39, 17, 41, 0, 28, 6",5,0
78,N_10_PL_0.5_R_0.25_V_19,"41, 0, 41, 41, 0, 0, 26, 30, 0, 41","11, 18, 34, 23, 39, 17, 41, 0, 28, 6",10,0
79,N_10_PL_0.5_R_0.25_V_19,"41, 0, 41, 41, 0, 0, 26, 30, 0, 41","11, 18, 34, 23, 39, 17, 41, 0, 28, 6",20,0
80,N_10_PL_0.5_R_0.5_V_15,"28, 41, 0, 0, 32, 18, 17, 38, 0, 0","0, 14, 17, 2, 41, 41, 41, 41, 35, 4",1,0
81,N_10_PL_0.5_R_0.5_V_15,"28, 41, 0, 0, 32, 18, 17, 38, 0, 0","0, 14, 17, 2, 41, 41, 41, 41, 35, 4",5,0
82,N_10_PL_0.5_R_0.5_V_15,"28, 41, 0, 0, 32, 18, 17, 38, 0, 0","0, 14, 17, 2, 41, 41, 41, 41, 35, 4",10,0
83,N_10_PL_0.5_R_0.5_V_15,"28, 41, 0, 0, 32, 18, 17, 38, 0, 0","0, 14, 17, 2, 41, 41, 41, 41, 35, 4",20,0
84,N_10_PL_0.5_R_0.5_V_16,"0, 1, 41, 41, 40, 41, 22, 41, 18, 26","11, 41, 37, 31, 0, 30, 0, 14, 0, 0",1,0
85,N_10_PL_0.5_R_0.5_V_16,"0, 1, 41, 41, 40, 41, 22, 41, 18, 26","11, 41, 37, 31, 0, 30, 0, 14, 0, 0",5,0
86,N_10_PL_0.5_R_0.5_V_16,"0, 1, 41, 41, 40, 41, 22, 41, 18, 26","11, 41, 37, 31, 0, 30, 0, 14, 0, 0",10,0
87,N_10_PL_0.5_R_0.5_V_16,"0, 1, 41, 41, 40, 41, 22, 41, 18, 26","11, 41, 37, 31, 0, 30, 0, 14, 0, 0",20,0
88,N_10_PL_0.5_R_0.5_V_17,"18, 0, 41, 0, 23, 13, 11, 0, 41, 15","0, 19, 14, 7, 41, 41, 0, 38, 26, 41",1,0
89,N_10_PL_0.5_R_0.5_V_17,"18, 0, 41, 0, 23, 13, 11, 0, 41, 15","0, 19, 14, 7, 41, 41, 0, 38, 26, 41",5,0
90,N_10_PL_0.5_R_0.5_V_17,"18, 0, 41, 0, 23, 13, 11, 0, 41, 15","0, 19, 14, 7, 41, 41, 0, 38, 26, 41",10,0
91,N_10_PL_0.5_R_0.5_V_17,"18, 0, 41, 0, 23, 13, 11, 0, 41, 15","0, 19, 14, 7, 41, 41, 0, 38, 26, 41",20,0
92,N_10_PL_0.5_R_0.5_V_18,"36, 0, 0, 0, 3, 41, 41, 24, 27, 15","41, 35, 29, 21, 41, 9, 35, 0, 41, 0",1,0
93,N_10_PL_0.5_R_0.5_V_18,"36, 0, 0, 0, 3, 41, 41, 24, 27, 15","41, 35, 29, 21, 41, 9, 35, 0, 41, 0",5,0
94,N_10_PL_0.5_R_0.5_V_18,"36, 0, 0, 0, 3, 41, 41, 24, 27, 15","41, 35, 29, 21, 41, 9, 35, 0, 41, 0",10,0
95,N_10_PL_0.5_R_0.5_V_18,"36, 0, 0, 0, 3, 41, 41, 24, 27, 15","41, 35, 29, 21, 41, 9, 35, 0, 41, 0",20,0
96,N_10_PL_0.5_R_0.5_V_19,"35, 41, 14, 18, 0, 41, 0, 0, 27, 18","41, 34, 41, 0, 1, 31, 36, 12, 0, 41",1,0
97,N_10_PL_0.5_R_0.5_V_19,"35, 41, 14, 18, 0, 41, 0, 0, 27, 18","41, 34, 41, 0, 1, 31, 36, 12, 0, 41",5,0
98,N_10_PL_0.5_R_0.5_V_19,"35, 41, 14, 18, 0, 41, 0, 0, 27, 18","41, 34, 41, 0, 1, 31, 36, 12, 0, 41",10,0
99,N_10_PL_0.5_R_0.5_V_19,"35, 41, 14, 18, 0, 41, 0, 0, 27, 18","41, 34, 41, 0, 1, 31, 36, 12, 0, 41",20,0
100,N_10_PL_0.5_R_0.75_V_15,"0, 10, 6, 36, 41, 6, 4, 26, 41, 12","13, 0, 0, 0, 15, 41, 41, 0, 37, 41",1,0
101,N_10_PL_0.5_R_0.75_V_15,"0, 10, 6, 36, 41, 6, 4, 26, 41, 12","13, 0, 0, 0, 15, 41, 41, 0, 37, 41",5,0
102,N_10_PL_0.5_R_0.75_V_15,"0, 10, 6, 36, 41, 6, 4, 26, 41, 12","13, 0, 0, 0, 15, 41, 41, 0, 37, 41",10,0
103,N_10_PL_0.5_R_0.75_V_15,"0, 10, 6, 36, 41, 6, 4, 26, 41, 12","13, 0, 0, 0, 15, 41, 41, 0, 37, 41",20,0
104,N_10_PL_0.5_R_0.75_V_16,"0, 0, 13, 31, 7, 14, 40, 5, 41, 40","14, 22, 0, 41, 41, 0, 0, 41, 37, 41",1,0
105,N_10_PL_0.5_R_0.75_V_16,"0, 0, 13, 31, 7, 14, 40, 5, 41, 40","14, 22, 0, 41, 41, 0, 0, 41, 37, 41",5,0
106,N_10_PL_0.5_R_0.75_V_16,"0, 0, 13, 31, 7, 14, 40, 5, 41, 40","14, 22, 0, 41, 41, 0, 0, 41, 37, 41",10,0
107,N_10_PL_0.5_R_0.75_V_16,"0, 0, 13, 31, 7, 14, 40, 5, 41, 40","14, 22, 0, 41, 41, 0, 0, 41, 37, 41",20,0
108,N_10_PL_0.5_R_0.75_V_17,"37, 0, 4, 41, 15, 5, 19, 39, 41, 17","41, 27, 41, 24, 0, 41, 0, 0, 14, 0",1,0
109,N_10_PL_0.5_R_0.75_V_17,"37, 0, 4, 41, 15, 5, 19, 39, 41, 17","41, 27, 41, 24, 0, 41, 0, 0, 14, 0",5,0
110,N_10_PL_0.5_R_0.75_V_17,"37, 0, 4, 41, 15, 5, 19, 39, 41, 17","41, 27, 41, 24, 0, 41, 0, 0, 14, 0",10,0
111,N_10_PL_0.5_R_0.75_V_17,"37, 0, 4, 41, 15, 5, 19, 39, 41, 17","41, 27, 41, 24, 0, 41, 0, 0, 14, 0",20,0
112,N_10_PL_0.5_R_0.75_V_18,"26, 0, 9, 23, 19, 41, 17, 35, 16, 0","0, 38, 0, 41, 41, 8, 41, 0, 41, 31",1,0
113,N_10_PL_0.5_R_0.75_V_18,"26, 0, 9, 23, 19, 41, 17, 35, 16, 0","0, 38, 0, 41, 41, 8, 41, 0, 41, 31",5,0
114,N_10_PL_0.5_R_0.75_V_18,"26, 0, 9, 23, 19, 41, 17, 35, 16, 0","0, 38, 0, 41, 41, 8, 41, 0, 41, 31",10,0
115,N_10_PL_0.5_R_0.75_V_18,"26, 0, 9, 23, 19, 41, 17, 35, 16, 0","0, 38, 0, 41, 41, 8, 41, 0, 41, 31",20,0
116,N_10_PL_0.5_R_0.75_V_19,"26, 0, 40, 4, 18, 17, 41, 35, 1, 41","0, 20, 0, 41, 0, 41, 17, 0, 41, 31",1,0
117,N_10_PL_0.5_R_0.75_V_19,"26, 0, 40, 4, 18, 17, 41, 35, 1, 41","0, 20, 0, 41, 0, 41, 17, 0, 41, 31",5,0
118,N_10_PL_0.5_R_0.75_V_19,"26, 0, 40, 4, 18, 17, 41, 35, 1, 41","0, 20, 0, 41, 0, 41, 17, 0, 41, 31",10,0
119,N_10_PL_0.5_R_0.75_V_19,"26, 0, 40, 4, 18, 17, 41, 35, 1, 41","0, 20, 0, 41, 0, 41, 17, 0, 41, 31",20,0
120,N_25_PL_0.25_R_0.25_V_15,"41, 0, 0, 0, 0, 0, 0, 0, 41, 14, 37, 41, 0, 0, 41, 24, 41, 0, 0, 21, 11, 3, 0, 0, 0","16, 14, 27, 20, 23, 30, 36, 28, 15, 0, 41, 20, 36, 12, 39, 0, 9, 6, 22, 0, 0, 0, 13, 7, 12",1,0
121,N_25_PL_0.25_R_0.25_V_15,"41, 0, 0, 0, 0, 0, 0, 0, 41, 14, 37, 41, 0, 0, 41, 24, 41, 0, 0, 21, 11, 3, 0, 0, 0","16, 14, 27, 20, 23, 30, 36, 28, 15, 0, 41, 20, 36, 12, 39, 0, 9, 6, 22, 0, 0, 0, 13, 7, 12",5,0
122,N_25_PL_0.25_R_0.25_V_15,"41, 0, 0, 0, 0, 0, 0, 0, 41, 14, 37, 41, 0, 0, 41, 24, 41, 0, 0, 21, 11, 3, 0, 0, 0","16, 14, 27, 20, 23, 30, 36, 28, 15, 0, 41, 20, 36, 12, 39, 0, 9, 6, 22, 0, 0, 0, 13, 7, 12",10,0
123,N_25_PL_0.25_R_0.25_V_15,"41, 0, 0, 0, 0, 0, 0, 0, 41, 14, 37, 41, 0, 0, 41, 24, 41, 0, 0, 21, 11, 3, 0, 0, 0","16, 14, 27, 20, 23, 30, 36, 28, 15, 0, 41, 20, 36, 12, 39, 0, 9, 6, 22, 0, 0, 0, 13, 7, 12",20,0
124,N_25_PL_0.25_R_0.25_V_16,"17, 0, 0, 0, 0, 39, 41, 0, 0, 14, 0, 41, 41, 20, 0, 0, 6, 0, 0, 0, 0, 11, 41, 41, 0","0, 15, 31, 17, 27, 0, 30, 37, 13, 0, 7, 16, 9, 0, 15, 35, 0, 38, 9, 9, 26, 41, 29, 35, 26",1,0
125,N_25_PL_0.25_R_0.25_V_16,"17, 0, 0, 0, 0, 39, 41, 0, 0, 14, 0, 41, 41, 20, 0, 0, 6, 0, 0, 0, 0, 11, 41, 41, 0","0, 15, 31, 17, 27, 0, 30, 37, 13, 0, 7, 16, 9, 0, 15, 35, 0, 38, 9, 9, 26, 41, 29, 35, 26",5,0
126,N_25_PL_0.25_R_0.25_V_16,"17, 0, 0, 0, 0, 39, 41, 0, 0, 14, 0, 41, 41, 20, 0, 0, 6, 0, 0, 0, 0, 11, 41, 41, 0","0, 15, 31, 17, 27, 0, 30, 37, 13, 0, 7, 16, 9, 0, 15, 35, 0, 38, 9, 9, 26, 41, 29, 35, 26",10,0
127,N_25_PL_0.25_R_0.25_V_16,"17, 0, 0, 0, 0, 39, 41, 0, 0, 14, 0, 41, 41, 20, 0, 0, 6, 0, 0, 0, 0, 11, 41, 41, 0","0, 15, 31, 17, 27, 0, 30, 37, 13, 0, 7, 16, 9, 0, 15, 35, 0, 38, 9, 9, 26, 41, 29, 35, 26",20,0
128,N_25_PL_0.25_R_0.25_V_17,"0, 41, 11, 0, 41, 0, 31, 0, 0, 8, 0, 2, 41, 3, 0, 0, 41, 0, 0, 0, 20, 41, 0, 0, 0","24, 31, 0, 31, 10, 7, 0, 23, 12, 0, 16, 41, 39, 0, 37, 30, 24, 17, 3, 18, 0, 13, 16, 25, 9",1,0
129,N_25_PL_0.25_R_0.25_V_17,"0, 41, 11, 0, 41, 0, 31, 0, 0, 8, 0, 2, 41, 3, 0, 0, 41, 0, 0, 0, 20, 41, 0, 0, 0","24, 31, 0, 31, 10, 7, 0, 23, 12, 0, 16, 41, 39, 0, 37, 30, 24, 17, 3, 18, 0, 13, 16, 25, 9",5,0
130,N_25_PL_0.25_R_0.25_V_17,"0, 41, 11, 0, 41, 0, 31, 0, 0, 8, 0, 2, 41, 3, 0, 0, 41, 0, 0, 0, 20, 41, 0, 0, 0","24, 31, 0, 31, 10, 7, 0, 23, 12, 0, 16, 41, 39, 0, 37, 30, 24, 17, 3, 18, 0, 13, 16, 25, 9",10,0
131,N_25_PL_0.25_R_0.25_V_17,"0, 41, 11, 0, 41, 0, 31, 0, 0, 8, 0, 2, 41, 3, 0, 0, 41, 0, 0, 0, 20, 41, 0, 0, 0","24, 31, 0, 31, 10, 7, 0, 23, 12, 0, 16, 41, 39, 0, 37, 30, 24, 17, 3, 18, 0, 13, 16, 25, 9",20,0
132,N_25_PL_0.25_R_0.25_V_18,"0, 0, 4, 33, 41, 0, 41, 41, 2, 23, 0, 0, 36, 0, 0, 0, 0, 0, 41, 36, 0, 0, 0, 0, 0","31, 17, 0, 41, 24, 39, 8, 22, 0, 41, 16, 20, 0, 15, 17, 26, 9, 17, 36, 0, 17, 20, 33, 39, 36",1,0
133,N_25_PL_0.25_R_0.25_V_18,"0, 0, 4, 33, 41, 0, 41, 41, 2, 23, 0, 0, 36, 0, 0, 0, 0, 0, 41, 36, 0, 0, 0, 0, 0","31, 17, 0, 41, 24, 39, 8, 22, 0, 41, 16, 20, 0, 15, 17, 26, 9, 17, 36, 0, 17, 20, 33, 39, 36",5,0
134,N_25_PL_0.25_R_0.25_V_18,"0, 0, 4, 33, 41, 0, 41, 41, 2, 23, 0, 0, 36, 0, 0, 0, 0, 0, 41, 36, 0, 0, 0, 0, 0","31, 17, 0, 41, 24, 39, 8, 22, 0, 41, 16, 20, 0, 15, 17, 26, 9, 17, 36, 0, 17, 20, 33, 39, 36",10,0
135,N_25_PL_0.25_R_0.25_V_18,"0, 0, 4, 33, 41, 0, 41, 41, 2, 23, 0, 0, 36, 0, 0, 0, 0, 0, 41, 36, 0, 0, 0, 0, 0","31, 17, 0, 41, 24, 39, 8, 22, 0, 41, 16, 20, 0, 15, 17, 26, 9, 17, 36, 0, 17, 20, 33, 39, 36",20,0
136,N_25_PL_0.25_R_0.25_V_19,"0, 41, 0, 0, 26, 41, 0, 0, 41, 41, 7, 0, 0, 25, 0, 0, 0, 0, 0, 41, 22, 30, 4, 0, 0","29, 22, 30, 20, 0, 12, 27, 25, 38, 31, 0, 10, 2, 0, 27, 2, 4, 34, 3, 25, 41, 0, 0, 9, 2",1,0
137,N_25_PL_0.25_R_0.25_V_19,"0, 41, 0, 0, 26, 41, 0, 0, 41, 41, 7, 0, 0, 25, 0, 0, 0, 0, 0, 41, 22, 30, 4, 0, 0","29, 22, 30, 20, 0, 12, 27, 25, 38, 31, 0, 10, 2, 0, 27, 2, 4, 34, 3, 25, 41, 0, 0, 9, 2",5,0
138,N_25_PL_0.25_R_0.25_V_19,"0, 41, 0, 0, 26, 41, 0, 0, 41, 41, 7, 0, 0, 25, 0, 0, 0, 0, 0, 41, 22, 30, 4, 0, 0","29, 22, 30, 20, 0, 12, 27, 25, 38, 31, 0, 10, 2, 0, 27, 2, 4, 34, 3, 25, 41, 0, 0, 9, 2",10,0
139,N_25_PL_0.25_R_0.25_V_19,"0, 41, 0, 0, 26, 41, 0, 0, 41, 41, 7, 0, 0, 25, 0, 0, 0, 0, 0, 41, 22, 30, 4, 0, 0","29, 22, 30, 20, 0, 12, 27, 25, 38, 31, 0, 10, 2, 0, 27, 2, 4, 34, 3, 25, 41, 0, 0, 9, 2",20,0
