Unnamed: 0,name,raw_org,raw_dest,p,handshake
10,N_10_PL_0.25_R_0.75_V_0,"4, 39, 0, 0, 28, 39, 41, 32, 10, 16","41, 0, 40, 18, 0, 0, 19, 0, 0, 0",5,16
10,N_10_PL_0.25_R_0.75_V_0,"4, 39, 0, 0, 28, 39, 41, 32, 10, 16","41, 0, 40, 18, 0, 0, 19, 0, 0, 0",10,16
10,N_10_PL_0.25_R_0.75_V_0,"4, 39, 0, 0, 28, 39, 41, 32, 10, 16","41, 0, 40, 18, 0, 0, 19, 0, 0, 0",20,16
11,N_10_PL_0.25_R_0.75_V_1,"0, 28, 33, 13, 27, 0, 0, 40, 29, 1","34, 0, 0, 0, 0, 27, 19, 41, 41, 0",1,15
11,N_10_PL_0.25_R_0.75_V_1,"0, 28, 33, 13, 27, 0, 0, 40, 29, 1","34, 0, 0, 0, 0, 27, 19, 41, 41, 0",5,15
11,N_10_PL_0.25_R_0.75_V_1,"0, 28, 33, 13, 27, 0, 0, 40, 29, 1","34, 0, 0, 0, 0, 27, 19, 41, 41, 0",10,15
11,N_10_PL_0.25_R_0.75_V_1,"0, 28, 33, 13, 27, 0, 0, 40, 29, 1","34, 0, 0, 0, 0, 27, 19, 41, 41, 0",20,15
12,N_10_PL_0.25_R_0.75_V_2,"24, 6, 0, 41, 32, 4, 0, 35, 33, 17","0, 0, 18, 5, 0, 0, 24, 0, 0, 41",1,15
12,N_10_PL_0.25_R_0.75_V_2,"24, 6, 0, 41, 32, 4, 0, 35, 33, 17","0, 0, 18, 5, 0, 0, 24, 0, 0, 41",5,15
12,N_10_PL_0.25_R_0.75_V_2,"24, 6, 0, 41, 32, 4, 0, 35, 33, 17","0, 0, 18, 5, 0, 0, 24, 0, 0, 41",10,14
12,N_10_PL_0.25_R_0.75_V_2,"24, 6, 0, 41, 32, 4, 0, 35, 33, 17","0, 0, 18, 5, 0, 0, 24, 0, 0, 41",20,13
13,N_10_PL_0.25_R_0.75_V_3,"7, 12, 27, 38, 27, 3, 0, 0, 0, 14","0, 0, 0, 41, 0, 0, 30, 11, 28, 41",1,15
13,N_10_PL_0.25_R_0.75_V_3,"7, 12, 27, 38, 27, 3, 0, 0, 0, 14","0, 0, 0, 41, 0, 0, 30, 11, 28, 41",5,14
13,N_10_PL_0.25_R_0.75_V_3,"7, 12, 27, 38, 27, 3, 0, 0, 0, 14","0, 0, 0, 41, 0, 0, 30, 11, 28, 41",10,12
13,N_10_PL_0.25_R_0.75_V_3,"7, 12, 27, 38, 27, 3, 0, 0, 0, 14","0, 0, 0, 41, 0, 0, 30, 11, 28, 41",20,12
14,N_10_PL_0.25_R_0.75_V_4,"0, 22, 20, 29, 17, 14, 41, 0, 32, 14","39, 0, 0, 41, 0, 0, 21, 38, 0, 0",1,13
14,N_10_PL_0.25_R_0.75_V_4,"0, 22, 20, 29, 17, 14, 41, 0, 32, 14","39, 0, 0, 41, 0, 0, 21, 38, 0, 0",5,14
14,N_10_PL_0.25_R_0.75_V_4,"0, 22, 20, 29, 17, 14, 41, 0, 32, 14","39, 0, 0, 41, 0, 0, 21, 38, 0, 0",10,14
14,N_10_PL_0.25_R_0.75_V_4,"0, 22, 20, 29, 17, 14, 41, 0, 32, 14","39, 0, 0, 41, 0, 0, 21, 38, 0, 0",20,14
15,N_10_PL_0.5_R_0.25_V_0,"0, 41, 41, 20, 0, 0, 1, 41, 41, 0","12, 9, 9, 0, 29, 9, 41, 24, 13, 16",1,18
15,N_10_PL_0.5_R_0.25_V_0,"0, 41, 41, 20, 0, 0, 1, 41, 41, 0","12, 9, 9, 0, 29, 9, 41, 24, 13, 16",5,17
15,N_10_PL_0.5_R_0.25_V_0,"0, 41, 41, 20, 0, 0, 1, 41, 41, 0","12, 9, 9, 0, 29, 9, 41, 24, 13, 16",10,16
15,N_10_PL_0.5_R_0.25_V_0,"0, 41, 41, 20, 0, 0, 1, 41, 41, 0","12, 9, 9, 0, 29, 9, 41, 24, 13, 16",20,16
16,N_10_PL_0.5_R_0.25_V_1,"41, 32, 0, 41, 5, 41, 0, 41, 41, 0","37, 0, 38, 11, 0, 36, 23, 21, 35, 13",1,22
16,N_10_PL_0.5_R_0.25_V_1,"41, 32, 0, 41, 5, 41, 0, 41, 41, 0","37, 0, 38, 11, 0, 36, 23, 21, 35, 13",5,23
16,N_10_PL_0.5_R_0.25_V_1,"41, 32, 0, 41, 5, 41, 0, 41, 41, 0","37, 0, 38, 11, 0, 36, 23, 21, 35, 13",10,23
16,N_10_PL_0.5_R_0.25_V_1,"41, 32, 0, 41, 5, 41, 0, 41, 41, 0","37, 0, 38, 11, 0, 36, 23, 21, 35, 13",20,23
17,N_10_PL_0.5_R_0.25_V_2,"0, 10, 0, 0, 41, 34, 41, 0, 0, 41","36, 41, 19, 9, 30, 41, 2, 19, 13, 26",1,16
17,N_10_PL_0.5_R_0.25_V_2,"0, 10, 0, 0, 41, 34, 41, 0, 0, 41","36, 41, 19, 9, 30, 41, 2, 19, 13, 26",5,16
17,N_10_PL_0.5_R_0.25_V_2,"0, 10, 0, 0, 41, 34, 41, 0, 0, 41","36, 41, 19, 9, 30, 41, 2, 19, 13, 26",10,17
17,N_10_PL_0.5_R_0.25_V_2,"0, 10, 0, 0, 41, 34, 41, 0, 0, 41","36, 41, 19, 9, 30, 41, 2, 19, 13, 26",20,18
18,N_10_PL_0.5_R_0.25_V_3,"0, 0, 0, 24, 0, 41, 41, 0, 36, 41","6, 18, 17, 41, 5, 37, 5, 28, 41, 6",1,16
18,N_10_PL_0.5_R_0.25_V_3,"0, 0, 0, 24, 0, 41, 41, 0, 36, 41","6, 18, 17, 41, 5, 37, 5, 28, 41, 6",5,17
18,N_10_PL_0.5_R_0.25_V_3,"0, 0, 0, 24, 0, 41, 41, 0, 36, 41","6, 18, 17, 41, 5, 37, 5, 28, 41, 6",10,17
18,N_10_PL_0.5_R_0.25_V_3,"0, 0, 0, 24, 0, 41, 41, 0, 36, 41","6, 18, 17, 41, 5, 37, 5, 28, 41, 6",20,17
19,N_10_PL_0.5_R_0.25_V_4,"0, 0, 41, 41, 33, 0, 30, 0, 41, 0","10, 35, 28, 24, 41, 37, 41, 7, 5, 10",1,20
19,N_10_PL_0.5_R_0.25_V_4,"0, 0, 41, 41, 33, 0, 30, 0, 41, 0","10, 35, 28, 24, 41, 37, 41, 7, 5, 10",5,21
19,N_10_PL_0.5_R_0.25_V_4,"0, 0, 41, 41, 33, 0, 30, 0, 41, 0","10, 35, 28, 24, 41, 37, 41, 7, 5, 10",10,22
19,N_10_PL_0.5_R_0.25_V_4,"0, 0, 41, 41, 33, 0, 30, 0, 41, 0","10, 35, 28, 24, 41, 37, 41, 7, 5, 10",20,24
20,N_10_PL_0.5_R_0.5_V_0,"0, 41, 29, 32, 0, 19, 2, 0, 3, 41","38, 23, 41, 0, 11, 41, 41, 25, 0, 17",1,22
20,N_10_PL_0.5_R_0.5_V_0,"0, 41, 29, 32, 0, 19, 2, 0, 3, 41","38, 23, 41, 0, 11, 41, 41, 25, 0, 17",5,22
20,N_10_PL_0.5_R_0.5_V_0,"0, 41, 29, 32, 0, 19, 2, 0, 3, 41","38, 23, 41, 0, 11, 41, 41, 25, 0, 17",10,22
20,N_10_PL_0.5_R_0.5_V_0,"0, 41, 29, 32, 0, 19, 2, 0, 3, 41","38, 23, 41, 0, 11, 41, 41, 25, 0, 17",20,22
21,N_10_PL_0.5_R_0.5_V_1,"41, 7, 40, 5, 0, 3, 27, 0, 41, 0","34, 41, 0, 41, 19, 0, 41, 34, 26, 31",1,21
21,N_10_PL_0.5_R_0.5_V_1,"41, 7, 40, 5, 0, 3, 27, 0, 41, 0","34, 41, 0, 41, 19, 0, 41, 34, 26, 31",5,21
21,N_10_PL_0.5_R_0.5_V_1,"41, 7, 40, 5, 0, 3, 27, 0, 41, 0","34, 41, 0, 41, 19, 0, 41, 34, 26, 31",10,22
21,N_10_PL_0.5_R_0.5_V_1,"41, 7, 40, 5, 0, 3, 27, 0, 41, 0","34, 41, 0, 41, 19, 0, 41, 34, 26, 31",20,23
22,N_10_PL_0.5_R_0.5_V_2,"41, 0, 41, 4, 36, 39, 41, 24, 35, 0","38, 16, 29, 41, 0, 41, 18, 0, 0, 13",1,20
22,N_10_PL_0.5_R_0.5_V_2,"41, 0, 41, 4, 36, 39, 41, 24, 35, 0","38, 16, 29, 41, 0, 41, 18, 0, 0, 13",5,20
22,N_10_PL_0.5_R_0.5_V_2,"41, 0, 41, 4, 36, 39, 41, 24, 35, 0","38, 16, 29, 41, 0, 41, 18, 0, 0, 13",10,21
22,N_10_PL_0.5_R_0.5_V_2,"41, 0, 41, 4, 36, 39, 41, 24, 35, 0","38, 16, 29, 41, 0, 41, 18, 0, 0, 13",20,23
23,N_10_PL_0.5_R_0.5_V_3,"36, 0, 41, 32, 29, 0, 41, 14, 41, 10","0, 34, 19, 41, 0, 39, 21, 0, 26, 41",1,23
23,N_10_PL_0.5_R_0.5_V_3,"36, 0, 41, 32, 29, 0, 41, 14, 41, 10","0, 34, 19, 41, 0, 39, 21, 0, 26, 41",5,23
23,N_10_PL_0.5_R_0.5_V_3,"36, 0, 41, 32, 29, 0, 41, 14, 41, 10","0, 34, 19, 41, 0, 39, 21, 0, 26, 41",10,24
23,N_10_PL_0.5_R_0.5_V_3,"36, 0, 41, 32, 29, 0, 41, 14, 41, 10","0, 34, 19, 41, 0, 39, 21, 0, 26, 41",20,25
24,N_10_PL_0.5_R_0.5_V_4,"41, 41, 4, 0, 17, 1, 25, 41, 0, 28","18, 5, 0, 34, 0, 0, 41, 8, 2, 41",1,21
24,N_10_PL_0.5_R_0.5_V_4,"41, 41, 4, 0, 17, 1, 25, 41, 0, 28","18, 5, 0, 34, 0, 0, 41, 8, 2, 41",5,19
24,N_10_PL_0.5_R_0.5_V_4,"41, 41, 4, 0, 17, 1, 25, 41, 0, 28","18, 5, 0, 34, 0, 0, 41, 8, 2, 41",10,18
24,N_10_PL_0.5_R_0.5_V_4,"41, 41, 4, 0, 17, 1, 25, 41, 0, 28","18, 5, 0, 34, 0, 0, 41, 8, 2, 41",20,17
25,N_10_PL_0.5_R_0.75_V_0,"14, 41, 5, 41, 40, 0, 31, 10, 2, 24","0, 16, 0, 13, 0, 29, 41, 41, 41, 0",1,19
25,N_10_PL_0.5_R_0.75_V_0,"14, 41, 5, 41, 40, 0, 31, 10, 2, 24","0, 16, 0, 13, 0, 29, 41, 41, 41, 0",5,19
25,N_10_PL_0.5_R_0.75_V_0,"14, 41, 5, 41, 40, 0, 31, 10, 2, 24","0, 16, 0, 13, 0, 29, 41, 41, 41, 0",10,18
25,N_10_PL_0.5_R_0.75_V_0,"14, 41, 5, 41, 40, 0, 31, 10, 2, 24","0, 16, 0, 13, 0, 29, 41, 41, 41, 0",20,16
26,N_10_PL_0.5_R_0.75_V_1,"5, 0, 0, 21, 15, 0, 37, 3, 19, 15","0, 38, 30, 41, 41, 37, 41, 41, 0, 41",1,24
26,N_10_PL_0.5_R_0.75_V_1,"5, 0, 0, 21, 15, 0, 37, 3, 19, 15","0, 38, 30, 41, 41, 37, 41, 41, 0, 41",5,24
26,N_10_PL_0.5_R_0.75_V_1,"5, 0, 0, 21, 15, 0, 37, 3, 19, 15","0, 38, 30, 41, 41, 37, 41, 41, 0, 41",10,23
26,N_10_PL_0.5_R_0.75_V_1,"5, 0, 0, 21, 15, 0, 37, 3, 19, 15","0, 38, 30, 41, 41, 37, 41, 41, 0, 41",20,23
27,N_10_PL_0.5_R_0.75_V_2,"41, 34, 0, 0, 13, 32, 16, 7, 32, 5","3, 0, 18, 2, 41, 41, 0, 41, 0, 41",1,19
27,N_10_PL_0.5_R_0.75_V_2,"41, 34, 0, 0, 13, 32, 16, 7, 32, 5","3, 0, 18, 2, 41, 41, 0, 41, 0, 41",5,18
27,N_10_PL_0.5_R_0.75_V_2,"41, 34, 0, 0, 13, 32, 16, 7, 32, 5","3, 0, 18, 2, 41, 41, 0, 41, 0, 41",10,18
27,N_10_PL_0.5_R_0.75_V_2,"41, 34, 0, 0, 13, 32, 16, 7, 32, 5","3, 0, 18, 2, 41, 41, 0, 41, 0, 41",20,18
28,N_10_PL_0.5_R_0.75_V_3,"20, 41, 0, 41, 32, 2, 14, 33, 13, 11","0, 27, 31, 21, 41, 41, 41, 0, 0, 0",1,19
28,N_10_PL_0.5_R_0.75_V_3,"20, 41, 0, 41, 32, 2, 14, 33, 13, 11","0, 27, 31, 21, 41, 41, 41, 0, 0, 0",5,20
28,N_10_PL_0.5_R_0.75_V_3,"20, 41, 0, 41, 32, 2, 14, 33, 13, 11","0, 27, 31, 21, 41, 41, 41, 0, 0, 0",10,20
28,N_10_PL_0.5_R_0.75_V_3,"20, 41, 0, 41, 32, 2, 14, 33, 13, 11","0, 27, 31, 21, 41, 41, 41, 0, 0, 0",20,20
29,N_10_PL_0.5_R_0.75_V_4,"10, 10, 41, 39, 36, 0, 41, 8, 13, 15","41, 0, 9, 0, 41, 16, 6, 0, 0, 41",1,16
29,N_10_PL_0.5_R_0.75_V_4,"10, 10, 41, 39, 36, 0, 41, 8, 13, 15","41, 0, 9, 0, 41, 16, 6, 0, 0, 41",5,15
29,N_10_PL_0.5_R_0.75_V_4,"10, 10, 41, 39, 36, 0, 41, 8, 13, 15","41, 0, 9, 0, 41, 16, 6, 0, 0, 41",10,15
29,N_10_PL_0.5_R_0.75_V_4,"10, 10, 41, 39, 36, 0, 41, 8, 13, 15","41, 0, 9, 0, 41, 16, 6, 0, 0, 41",20,13
30,N_25_PL_0.25_R_0.25_V_0,"0, 41, 0, 0, 0, 6, 41, 15, 0, 0, 0, 17, 0, 0, 8, 0, 0, 41, 41, 0, 0, 37, 0, 0, 35","20, 10, 19, 30, 35, 0, 2, 0, 16, 7, 38, 0, 30, 37, 41, 11, 2, 24, 20, 4, 24, 0, 33, 30, 41",1,15
30,N_25_PL_0.25_R_0.25_V_0,"0, 41, 0, 0, 0, 6, 41, 15, 0, 0, 0, 17, 0, 0, 8, 0, 0, 41, 41, 0, 0, 37, 0, 0, 35","20, 10, 19, 30, 35, 0, 2, 0, 16, 7, 38, 0, 30, 37, 41, 11, 2, 24, 20, 4, 24, 0, 33, 30, 41",5,15
30,N_25_PL_0.25_R_0.25_V_0,"0, 41, 0, 0, 0, 6, 41, 15, 0, 0, 0, 17, 0, 0, 8, 0, 0, 41, 41, 0, 0, 37, 0, 0, 35","20, 10, 19, 30, 35, 0, 2, 0, 16, 7, 38, 0, 30, 37, 41, 11, 2, 24, 20, 4, 24, 0, 33, 30, 41",10,15
30,N_25_PL_0.25_R_0.25_V_0,"0, 41, 0, 0, 0, 6, 41, 15, 0, 0, 0, 17, 0, 0, 8, 0, 0, 41, 41, 0, 0, 37, 0, 0, 35","20, 10, 19, 30, 35, 0, 2, 0, 16, 7, 38, 0, 30, 37, 41, 11, 2, 24, 20, 4, 24, 0, 33, 30, 41",20,15
31,N_25_PL_0.25_R_0.25_V_1,"0, 41, 0, 0, 41, 0, 0, 0, 0, 0, 25, 5, 32, 0, 0, 0, 41, 0, 0, 28, 41, 0, 27, 0, 5","26, 10, 6, 8, 39, 1, 12, 18, 20, 35, 0, 41, 0, 26, 25, 9, 1, 7, 31, 41, 11, 2, 0, 29, 0",1,13
31,N_25_PL_0.25_R_0.25_V_1,"0, 41, 0, 0, 41, 0, 0, 0, 0, 0, 25, 5, 32, 0, 0, 0, 41, 0, 0, 28, 41, 0, 27, 0, 5","26, 10, 6, 8, 39, 1, 12, 18, 20, 35, 0, 41, 0, 26, 25, 9, 1, 7, 31, 41, 11, 2, 0, 29, 0",5,12
31,N_25_PL_0.25_R_0.25_V_1,"0, 41, 0, 0, 41, 0, 0, 0, 0, 0, 25, 5, 32, 0, 0, 0, 41, 0, 0, 28, 41, 0, 27, 0, 5","26, 10, 6, 8, 39, 1, 12, 18, 20, 35, 0, 41, 0, 26, 25, 9, 1, 7, 31, 41, 11, 2, 0, 29, 0",10,11
31,N_25_PL_0.25_R_0.25_V_1,"0, 41, 0, 0, 41, 0, 0, 0, 0, 0, 25, 5, 32, 0, 0, 0, 41, 0, 0, 28, 41, 0, 27, 0, 5","26, 10, 6, 8, 39, 1, 12, 18, 20, 35, 0, 41, 0, 26, 25, 9, 1, 7, 31, 41, 11, 2, 0, 29, 0",20,10
32,N_25_PL_0.25_R_0.25_V_2,"0, 35, 30, 37, 41, 0, 0, 23, 0, 0, 0, 0, 21, 41, 0, 0, 41, 0, 30, 0, 0, 41, 0, 0, 41","35, 0, 41, 0, 5, 38, 28, 0, 32, 13, 21, 19, 0, 37, 33, 31, 30, 16, 0, 34, 26, 34, 30, 24, 13",1,15
32,N_25_PL_0.25_R_0.25_V_2,"0, 35, 30, 37, 41, 0, 0, 23, 0, 0, 0, 0, 21, 41, 0, 0, 41, 0, 30, 0, 0, 41, 0, 0, 41","35, 0, 41, 0, 5, 38, 28, 0, 32, 13, 21, 19, 0, 37, 33, 31, 30, 16, 0, 34, 26, 34, 30, 24, 13",5,16
32,N_25_PL_0.25_R_0.25_V_2,"0, 35, 30, 37, 41, 0, 0, 23, 0, 0, 0, 0, 21, 41, 0, 0, 41, 0, 30, 0, 0, 41, 0, 0, 41","35, 0, 41, 0, 5, 38, 28, 0, 32, 13, 21, 19, 0, 37, 33, 31, 30, 16, 0, 34, 26, 34, 30, 24, 13",10,16
32,N_25_PL_0.25_R_0.25_V_2,"0, 35, 30, 37, 41, 0, 0, 23, 0, 0, 0, 0, 21, 41, 0, 0, 41, 0, 30, 0, 0, 41, 0, 0, 41","35, 0, 41, 0, 5, 38, 28, 0, 32, 13, 21, 19, 0, 37, 33, 31, 30, 16, 0, 34, 26, 34, 30, 24, 13",20,19
33,N_25_PL_0.25_R_0.25_V_3,"41, 0, 0, 13, 0, 8, 0, 0, 41, 0, 0, 0, 26, 41, 26, 0, 9, 0, 0, 4, 41, 41, 0, 0, 0","20, 2, 23, 0, 22, 0, 17, 18, 14, 15, 39, 17, 0, 2, 41, 33, 0, 14, 34, 0, 15, 11, 8, 8, 34",1,13
33,N_25_PL_0.25_R_0.25_V_3,"41, 0, 0, 13, 0, 8, 0, 0, 41, 0, 0, 0, 26, 41, 26, 0, 9, 0, 0, 4, 41, 41, 0, 0, 0","20, 2, 23, 0, 22, 0, 17, 18, 14, 15, 39, 17, 0, 2, 41, 33, 0, 14, 34, 0, 15, 11, 8, 8, 34",5,13
33,N_25_PL_0.25_R_0.25_V_3,"41, 0, 0, 13, 0, 8, 0, 0, 41, 0, 0, 0, 26, 41, 26, 0, 9, 0, 0, 4, 41, 41, 0, 0, 0","20, 2, 23, 0, 22, 0, 17, 18, 14, 15, 39, 17, 0, 2, 41, 33, 0, 14, 34, 0, 15, 11, 8, 8, 34",10,13
33,N_25_PL_0.25_R_0.25_V_3,"41, 0, 0, 13, 0, 8, 0, 0, 41, 0, 0, 0, 26, 41, 26, 0, 9, 0, 0, 4, 41, 41, 0, 0, 0","20, 2, 23, 0, 22, 0, 17, 18, 14, 15, 39, 17, 0, 2, 41, 33, 0, 14, 34, 0, 15, 11, 8, 8, 34",20,11
34,N_25_PL_0.25_R_0.25_V_4,"0, 41, 0, 41, 41, 19, 0, 0, 0, 14, 41, 0, 0, 5, 0, 0, 39, 0, 0, 0, 0, 34, 16, 0, 0","40, 5, 23, 18, 30, 0, 11, 37, 16, 0, 9, 18, 26, 0, 4, 1, 41, 6, 40, 28, 15, 41, 0, 8, 30",1,13
34,N_25_PL_0.25_R_0.25_V_4,"0, 41, 0, 41, 41, 19, 0, 0, 0, 14, 41, 0, 0, 5, 0, 0, 39, 0, 0, 0, 0, 34, 16, 0, 0","40, 5, 23, 18, 30, 0, 11, 37, 16, 0, 9, 18, 26, 0, 4, 1, 41, 6, 40, 28, 15, 41, 0, 8, 30",5,13
34,N_25_PL_0.25_R_0.25_V_4,"0, 41, 0, 41, 41, 19, 0, 0, 0, 14, 41, 0, 0, 5, 0, 0, 39, 0, 0, 0, 0, 34, 16, 0, 0","40, 5, 23, 18, 30, 0, 11, 37, 16, 0, 9, 18, 26, 0, 4, 1, 41, 6, 40, 28, 15, 41, 0, 8, 30",10,12
34,N_25_PL_0.25_R_0.25_V_4,"0, 41, 0, 41, 41, 19, 0, 0, 0, 14, 41, 0, 0, 5, 0, 0, 39, 0, 0, 0, 0, 34, 16, 0, 0","40, 5, 23, 18, 30, 0, 11, 37, 16, 0, 9, 18, 26, 0, 4, 1, 41, 6, 40, 28, 15, 41, 0, 8, 30",20,12
