,name,raw_org,raw_dest,p,best_h
28,N_10_PL_0.25_R_0.5_V_12,"26, 13, 6, 7, 0, 0, 0, 41, 24, 0","0, 0, 41, 0, 5, 13, 14, 25, 0, 12",1,0
29,N_10_PL_0.25_R_0.5_V_12,"26, 13, 6, 7, 0, 0, 0, 41, 24, 0","0, 0, 41, 0, 5, 13, 14, 25, 0, 12",5,0
30,N_10_PL_0.25_R_0.5_V_12,"26, 13, 6, 7, 0, 0, 0, 41, 24, 0","0, 0, 41, 0, 5, 13, 14, 25, 0, 12",10,0
31,N_10_PL_0.25_R_0.5_V_12,"26, 13, 6, 7, 0, 0, 0, 41, 24, 0","0, 0, 41, 0, 5, 13, 14, 25, 0, 12",20,0
32,N_10_PL_0.25_R_0.5_V_13,"1, 41, 21, 3, 0, 0, 41, 10, 19, 0","0, 32, 0, 0, 10, 21, 35, 0, 0, 13",1,0
33,N_10_PL_0.25_R_0.5_V_13,"1, 41, 21, 3, 0, 0, 41, 10, 19, 0","0, 32, 0, 0, 10, 21, 35, 0, 0, 13",5,0
34,N_10_PL_0.25_R_0.5_V_13,"1, 41, 21, 3, 0, 0, 41, 10, 19, 0","0, 32, 0, 0, 10, 21, 35, 0, 0, 13",10,0
35,N_10_PL_0.25_R_0.5_V_13,"1, 41, 21, 3, 0, 0, 41, 10, 19, 0","0, 32, 0, 0, 10, 21, 35, 0, 0, 13",20,0
36,N_10_PL_0.25_R_0.5_V_14,"4, 0, 0, 0, 0, 41, 1, 40, 39, 17","0, 11, 36, 35, 38, 5, 0, 0, 0, 41",1,0
37,N_10_PL_0.25_R_0.5_V_14,"4, 0, 0, 0, 0, 41, 1, 40, 39, 17","0, 11, 36, 35, 38, 5, 0, 0, 0, 41",5,0
38,N_10_PL_0.25_R_0.5_V_14,"4, 0, 0, 0, 0, 41, 1, 40, 39, 17","0, 11, 36, 35, 38, 5, 0, 0, 0, 41",10,0
39,N_10_PL_0.25_R_0.5_V_14,"4, 0, 0, 0, 0, 41, 1, 40, 39, 17","0, 11, 36, 35, 38, 5, 0, 0, 0, 41",20,0
40,N_10_PL_0.25_R_0.75_V_10,"15, 0, 26, 16, 19, 19, 0, 26, 35, 0","0, 33, 0, 41, 41, 0, 22, 0, 0, 39",1,0
41,N_10_PL_0.25_R_0.75_V_10,"15, 0, 26, 16, 19, 19, 0, 26, 35, 0","0, 33, 0, 41, 41, 0, 22, 0, 0, 39",5,0
42,N_10_PL_0.25_R_0.75_V_10,"15, 0, 26, 16, 19, 19, 0, 26, 35, 0","0, 33, 0, 41, 41, 0, 22, 0, 0, 39",10,0
43,N_10_PL_0.25_R_0.75_V_10,"15, 0, 26, 16, 19, 19, 0, 26, 35, 0","0, 33, 0, 41, 41, 0, 22, 0, 0, 39",20,0
44,N_10_PL_0.25_R_0.75_V_11,"28, 27, 41, 0, 2, 32, 27, 16, 41, 10","0, 0, 4, 38, 0, 0, 0, 0, 34, 0",1,0
45,N_10_PL_0.25_R_0.75_V_11,"28, 27, 41, 0, 2, 32, 27, 16, 41, 10","0, 0, 4, 38, 0, 0, 0, 0, 34, 0",5,0
46,N_10_PL_0.25_R_0.75_V_11,"28, 27, 41, 0, 2, 32, 27, 16, 41, 10","0, 0, 4, 38, 0, 0, 0, 0, 34, 0",10,0
47,N_10_PL_0.25_R_0.75_V_11,"28, 27, 41, 0, 2, 32, 27, 16, 41, 10","0, 0, 4, 38, 0, 0, 0, 0, 34, 0",20,0
48,N_10_PL_0.25_R_0.75_V_12,"30, 31, 41, 37, 41, 3, 14, 0, 32, 32","0, 0, 31, 0, 7, 0, 0, 2, 0, 0",1,0
49,N_10_PL_0.25_R_0.75_V_12,"30, 31, 41, 37, 41, 3, 14, 0, 32, 32","0, 0, 31, 0, 7, 0, 0, 2, 0, 0",5,0
50,N_10_PL_0.25_R_0.75_V_12,"30, 31, 41, 37, 41, 3, 14, 0, 32, 32","0, 0, 31, 0, 7, 0, 0, 2, 0, 0",10,0
51,N_10_PL_0.25_R_0.75_V_12,"30, 31, 41, 37, 41, 3, 14, 0, 32, 32","0, 0, 31, 0, 7, 0, 0, 2, 0, 0",20,0
52,N_10_PL_0.25_R_0.75_V_13,"40, 7, 0, 37, 6, 0, 41, 4, 13, 35","41, 0, 17, 0, 0, 3, 2, 0, 0, 0",1,0
53,N_10_PL_0.25_R_0.75_V_13,"40, 7, 0, 37, 6, 0, 41, 4, 13, 35","41, 0, 17, 0, 0, 3, 2, 0, 0, 0",5,0
54,N_10_PL_0.25_R_0.75_V_13,"40, 7, 0, 37, 6, 0, 41, 4, 13, 35","41, 0, 17, 0, 0, 3, 2, 0, 0, 0",10,0
55,N_10_PL_0.25_R_0.75_V_13,"40, 7, 0, 37, 6, 0, 41, 4, 13, 35","41, 0, 17, 0, 0, 3, 2, 0, 0, 0",20,0
56,N_10_PL_0.25_R_0.75_V_14,"5, 30, 35, 30, 0, 0, 16, 0, 26, 18","0, 0, 0, 41, 22, 12, 0, 30, 0, 41",1,0
57,N_10_PL_0.25_R_0.75_V_14,"5, 30, 35, 30, 0, 0, 16, 0, 26, 18","0, 0, 0, 41, 22, 12, 0, 30, 0, 41",5,0
58,N_10_PL_0.25_R_0.75_V_14,"5, 30, 35, 30, 0, 0, 16, 0, 26, 18","0, 0, 0, 41, 22, 12, 0, 30, 0, 41",10,0
59,N_10_PL_0.25_R_0.75_V_14,"5, 30, 35, 30, 0, 0, 16, 0, 26, 18","0, 0, 0, 41, 22, 12, 0, 30, 0, 41",20,0
60,N_10_PL_0.5_R_0.25_V_10,"0, 41, 0, 41, 41, 41, 41, 0, 5, 6","8, 18, 27, 4, 17, 27, 16, 8, 0, 0",1,0
61,N_10_PL_0.5_R_0.25_V_10,"0, 41, 0, 41, 41, 41, 41, 0, 5, 6","8, 18, 27, 4, 17, 27, 16, 8, 0, 0",5,0
62,N_10_PL_0.5_R_0.25_V_10,"0, 41, 0, 41, 41, 41, 41, 0, 5, 6","8, 18, 27, 4, 17, 27, 16, 8, 0, 0",10,0
63,N_10_PL_0.5_R_0.25_V_10,"0, 41, 0, 41, 41, 41, 41, 0, 5, 6","8, 18, 27, 4, 17, 27, 16, 8, 0, 0",20,0
64,N_10_PL_0.5_R_0.25_V_11,"0, 41, 41, 0, 36, 0, 8, 0, 41, 41","29, 23, 13, 14, 41, 16, 0, 12, 10, 28",1,0
65,N_10_PL_0.5_R_0.25_V_11,"0, 41, 41, 0, 36, 0, 8, 0, 41, 41","29, 23, 13, 14, 41, 16, 0, 12, 10, 28",5,0
66,N_10_PL_0.5_R_0.25_V_11,"0, 41, 41, 0, 36, 0, 8, 0, 41, 41","29, 23, 13, 14, 41, 16, 0, 12, 10, 28",10,0
67,N_10_PL_0.5_R_0.25_V_11,"0, 41, 41, 0, 36, 0, 8, 0, 41, 41","29, 23, 13, 14, 41, 16, 0, 12, 10, 28",20,0
68,N_10_PL_0.5_R_0.25_V_12,"41, 0, 20, 11, 41, 41, 0, 0, 0, 41","34, 20, 0, 41, 25, 20, 28, 27, 21, 30",1,0
69,N_10_PL_0.5_R_0.25_V_12,"41, 0, 20, 11, 41, 41, 0, 0, 0, 41","34, 20, 0, 41, 25, 20, 28, 27, 21, 30",5,0
70,N_10_PL_0.5_R_0.25_V_12,"41, 0, 20, 11, 41, 41, 0, 0, 0, 41","34, 20, 0, 41, 25, 20, 28, 27, 21, 30",10,0
71,N_10_PL_0.5_R_0.25_V_12,"41, 0, 20, 11, 41, 41, 0, 0, 0, 41","34, 20, 0, 41, 25, 20, 28, 27, 21, 30",20,0
72,N_10_PL_0.5_R_0.25_V_13,"41, 0, 0, 21, 41, 0, 0, 41, 3, 41","37, 10, 13, 0, 15, 25, 29, 22, 41, 37",1,0
73,N_10_PL_0.5_R_0.25_V_13,"41, 0, 0, 21, 41, 0, 0, 41, 3, 41","37, 10, 13, 0, 15, 25, 29, 22, 41, 37",5,0
74,N_10_PL_0.5_R_0.25_V_13,"41, 0, 0, 21, 41, 0, 0, 41, 3, 41","37, 10, 13, 0, 15, 25, 29, 22, 41, 37",10,0
75,N_10_PL_0.5_R_0.25_V_13,"41, 0, 0, 21, 41, 0, 0, 41, 3, 41","37, 10, 13, 0, 15, 25, 29, 22, 41, 37",20,0
76,N_10_PL_0.5_R_0.25_V_14,"0, 0, 21, 41, 41, 0, 0, 41, 41, 6","14, 29, 41, 15, 25, 25, 23, 6, 6, 0",1,0
77,N_10_PL_0.5_R_0.25_V_14,"0, 0, 21, 41, 41, 0, 0, 41, 41, 6","14, 29, 41, 15, 25, 25, 23, 6, 6, 0",5,0
78,N_10_PL_0.5_R_0.25_V_14,"0, 0, 21, 41, 41, 0, 0, 41, 41, 6","14, 29, 41, 15, 25, 25, 23, 6, 6, 0",10,0
79,N_10_PL_0.5_R_0.25_V_14,"0, 0, 21, 41, 41, 0, 0, 41, 41, 6","14, 29, 41, 15, 25, 25, 23, 6, 6, 0",20,0
80,N_10_PL_0.5_R_0.5_V_10,"1, 38, 0, 29, 6, 19, 41, 41, 0, 41","0, 41, 32, 41, 0, 0, 9, 17, 18, 21",1,0
81,N_10_PL_0.5_R_0.5_V_10,"1, 38, 0, 29, 6, 19, 41, 41, 0, 41","0, 41, 32, 41, 0, 0, 9, 17, 18, 21",5,0
82,N_10_PL_0.5_R_0.5_V_10,"1, 38, 0, 29, 6, 19, 41, 41, 0, 41","0, 41, 32, 41, 0, 0, 9, 17, 18, 21",10,0
83,N_10_PL_0.5_R_0.5_V_10,"1, 38, 0, 29, 6, 19, 41, 41, 0, 41","0, 41, 32, 41, 0, 0, 9, 17, 18, 21",20,0
84,N_10_PL_0.5_R_0.5_V_11,"17, 0, 40, 41, 0, 26, 41, 17, 41, 3","0, 28, 0, 34, 13, 41, 5, 41, 7, 0",1,0
85,N_10_PL_0.5_R_0.5_V_11,"17, 0, 40, 41, 0, 26, 41, 17, 41, 3","0, 28, 0, 34, 13, 41, 5, 41, 7, 0",5,0
86,N_10_PL_0.5_R_0.5_V_11,"17, 0, 40, 41, 0, 26, 41, 17, 41, 3","0, 28, 0, 34, 13, 41, 5, 41, 7, 0",10,0
87,N_10_PL_0.5_R_0.5_V_11,"17, 0, 40, 41, 0, 26, 41, 17, 41, 3","0, 28, 0, 34, 13, 41, 5, 41, 7, 0",20,0
88,N_10_PL_0.5_R_0.5_V_12,"8, 0, 41, 41, 8, 41, 34, 21, 0, 20","0, 18, 19, 4, 0, 31, 41, 0, 30, 41",1,0
89,N_10_PL_0.5_R_0.5_V_12,"8, 0, 41, 41, 8, 41, 34, 21, 0, 20","0, 18, 19, 4, 0, 31, 41, 0, 30, 41",5,0
90,N_10_PL_0.5_R_0.5_V_12,"8, 0, 41, 41, 8, 41, 34, 21, 0, 20","0, 18, 19, 4, 0, 31, 41, 0, 30, 41",10,0
91,N_10_PL_0.5_R_0.5_V_12,"8, 0, 41, 41, 8, 41, 34, 21, 0, 20","0, 18, 19, 4, 0, 31, 41, 0, 30, 41",20,0
92,N_10_PL_0.5_R_0.5_V_13,"41, 14, 27, 41, 41, 12, 41, 27, 32, 41","24, 0, 0, 40, 29, 0, 12, 0, 0, 8",1,0
93,N_10_PL_0.5_R_0.5_V_13,"41, 14, 27, 41, 41, 12, 41, 27, 32, 41","24, 0, 0, 40, 29, 0, 12, 0, 0, 8",5,0
94,N_10_PL_0.5_R_0.5_V_13,"41, 14, 27, 41, 41, 12, 41, 27, 32, 41","24, 0, 0, 40, 29, 0, 12, 0, 0, 8",10,0
95,N_10_PL_0.5_R_0.5_V_13,"41, 14, 27, 41, 41, 12, 41, 27, 32, 41","24, 0, 0, 40, 29, 0, 12, 0, 0, 8",20,0
96,N_10_PL_0.5_R_0.5_V_14,"41, 0, 37, 15, 0, 12, 41, 25, 31, 41","13, 28, 41, 0, 31, 41, 4, 0, 0, 24",1,0
97,N_10_PL_0.5_R_0.5_V_14,"41, 0, 37, 15, 0, 12, 41, 25, 31, 41","13, 28, 41, 0, 31, 41, 4, 0, 0, 24",5,0
98,N_10_PL_0.5_R_0.5_V_14,"41, 0, 37, 15, 0, 12, 41, 25, 31, 41","13, 28, 41, 0, 31, 41, 4, 0, 0, 24",10,0
99,N_10_PL_0.5_R_0.5_V_14,"41, 0, 37, 15, 0, 12, 41, 25, 31, 41","13, 28, 41, 0, 31, 41, 4, 0, 0, 24",20,0
100,N_10_PL_0.5_R_0.75_V_10,"21, 0, 1, 41, 15, 30, 41, 24, 31, 26","41, 13, 41, 24, 41, 0, 35, 0, 0, 0",1,0
101,N_10_PL_0.5_R_0.75_V_10,"21, 0, 1, 41, 15, 30, 41, 24, 31, 26","41, 13, 41, 24, 41, 0, 35, 0, 0, 0",5,0
102,N_10_PL_0.5_R_0.75_V_10,"21, 0, 1, 41, 15, 30, 41, 24, 31, 26","41, 13, 41, 24, 41, 0, 35, 0, 0, 0",10,0
103,N_10_PL_0.5_R_0.75_V_10,"21, 0, 1, 41, 15, 30, 41, 24, 31, 26","41, 13, 41, 24, 41, 0, 35, 0, 0, 0",20,0
104,N_10_PL_0.5_R_0.75_V_11,"7, 41, 41, 18, 1, 25, 0, 16, 36, 20","0, 34, 28, 0, 41, 0, 1, 41, 0, 41",1,0
105,N_10_PL_0.5_R_0.75_V_11,"7, 41, 41, 18, 1, 25, 0, 16, 36, 20","0, 34, 28, 0, 41, 0, 1, 41, 0, 41",5,0
106,N_10_PL_0.5_R_0.75_V_11,"7, 41, 41, 18, 1, 25, 0, 16, 36, 20","0, 34, 28, 0, 41, 0, 1, 41, 0, 41",10,0
107,N_10_PL_0.5_R_0.75_V_11,"7, 41, 41, 18, 1, 25, 0, 16, 36, 20","0, 34, 28, 0, 41, 0, 1, 41, 0, 41",20,0
108,N_10_PL_0.5_R_0.75_V_12,"0, 36, 41, 18, 5, 8, 21, 31, 41, 4","37, 41, 8, 0, 41, 41, 0, 0, 13, 0",1,0
109,N_10_PL_0.5_R_0.75_V_12,"0, 36, 41, 18, 5, 8, 21, 31, 41, 4","37, 41, 8, 0, 41, 41, 0, 0, 13, 0",5,0
110,N_10_PL_0.5_R_0.75_V_12,"0, 36, 41, 18, 5, 8, 21, 31, 41, 4","37, 41, 8, 0, 41, 41, 0, 0, 13, 0",10,0
111,N_10_PL_0.5_R_0.75_V_12,"0, 36, 41, 18, 5, 8, 21, 31, 41, 4","37, 41, 8, 0, 41, 41, 0, 0, 13, 0",20,0
112,N_10_PL_0.5_R_0.75_V_13,"41, 18, 31, 41, 41, 27, 10, 6, 35, 17","36, 0, 41, 1, 11, 0, 0, 0, 41, 0",1,0
113,N_10_PL_0.5_R_0.75_V_13,"41, 18, 31, 41, 41, 27, 10, 6, 35, 17","36, 0, 41, 1, 11, 0, 0, 0, 41, 0",5,0
114,N_10_PL_0.5_R_0.75_V_13,"41, 18, 31, 41, 41, 27, 10, 6, 35, 17","36, 0, 41, 1, 11, 0, 0, 0, 41, 0",10,0
115,N_10_PL_0.5_R_0.75_V_13,"41, 18, 31, 41, 41, 27, 10, 6, 35, 17","36, 0, 41, 1, 11, 0, 0, 0, 41, 0",20,0
116,N_10_PL_0.5_R_0.75_V_14,"9, 0, 6, 41, 3, 11, 21, 41, 6, 30","41, 14, 0, 9, 41, 0, 41, 33, 0, 0",1,0
117,N_10_PL_0.5_R_0.75_V_14,"9, 0, 6, 41, 3, 11, 21, 41, 6, 30","41, 14, 0, 9, 41, 0, 41, 33, 0, 0",5,0
118,N_10_PL_0.5_R_0.75_V_14,"9, 0, 6, 41, 3, 11, 21, 41, 6, 30","41, 14, 0, 9, 41, 0, 41, 33, 0, 0",10,0
119,N_10_PL_0.5_R_0.75_V_14,"9, 0, 6, 41, 3, 11, 21, 41, 6, 30","41, 14, 0, 9, 41, 0, 41, 33, 0, 0",20,0
120,N_25_PL_0.25_R_0.25_V_10,"0, 41, 0, 41, 35, 0, 0, 0, 0, 41, 11, 18, 0, 0, 41, 0, 0, 41, 0, 0, 23, 0, 11, 13, 0","11, 12, 4, 29, 0, 13, 12, 22, 29, 16, 0, 0, 8, 5, 40, 24, 20, 26, 39, 3, 0, 10, 41, 0, 40",1,0
121,N_25_PL_0.25_R_0.25_V_10,"0, 41, 0, 41, 35, 0, 0, 0, 0, 41, 11, 18, 0, 0, 41, 0, 0, 41, 0, 0, 23, 0, 11, 13, 0","11, 12, 4, 29, 0, 13, 12, 22, 29, 16, 0, 0, 8, 5, 40, 24, 20, 26, 39, 3, 0, 10, 41, 0, 40",5,0
122,N_25_PL_0.25_R_0.25_V_10,"0, 41, 0, 41, 35, 0, 0, 0, 0, 41, 11, 18, 0, 0, 41, 0, 0, 41, 0, 0, 23, 0, 11, 13, 0","11, 12, 4, 29, 0, 13, 12, 22, 29, 16, 0, 0, 8, 5, 40, 24, 20, 26, 39, 3, 0, 10, 41, 0, 40",10,0
123,N_25_PL_0.25_R_0.25_V_10,"0, 41, 0, 41, 35, 0, 0, 0, 0, 41, 11, 18, 0, 0, 41, 0, 0, 41, 0, 0, 23, 0, 11, 13, 0","11, 12, 4, 29, 0, 13, 12, 22, 29, 16, 0, 0, 8, 5, 40, 24, 20, 26, 39, 3, 0, 10, 41, 0, 40",20,0
124,N_25_PL_0.25_R_0.25_V_11,"17, 6, 0, 0, 0, 32, 0, 0, 23, 9, 0, 0, 41, 41, 41, 0, 0, 0, 0, 36, 0, 0, 0, 41, 0","0, 0, 15, 8, 33, 0, 26, 22, 0, 41, 24, 38, 40, 22, 37, 19, 12, 12, 14, 41, 4, 39, 27, 12, 21",1,0
125,N_25_PL_0.25_R_0.25_V_11,"17, 6, 0, 0, 0, 32, 0, 0, 23, 9, 0, 0, 41, 41, 41, 0, 0, 0, 0, 36, 0, 0, 0, 41, 0","0, 0, 15, 8, 33, 0, 26, 22, 0, 41, 24, 38, 40, 22, 37, 19, 12, 12, 14, 41, 4, 39, 27, 12, 21",5,0
126,N_25_PL_0.25_R_0.25_V_11,"17, 6, 0, 0, 0, 32, 0, 0, 23, 9, 0, 0, 41, 41, 41, 0, 0, 0, 0, 36, 0, 0, 0, 41, 0","0, 0, 15, 8, 33, 0, 26, 22, 0, 41, 24, 38, 40, 22, 37, 19, 12, 12, 14, 41, 4, 39, 27, 12, 21",10,0
127,N_25_PL_0.25_R_0.25_V_11,"17, 6, 0, 0, 0, 32, 0, 0, 23, 9, 0, 0, 41, 41, 41, 0, 0, 0, 0, 36, 0, 0, 0, 41, 0","0, 0, 15, 8, 33, 0, 26, 22, 0, 41, 24, 38, 40, 22, 37, 19, 12, 12, 14, 41, 4, 39, 27, 12, 21",20,0
128,N_25_PL_0.25_R_0.25_V_12,"0, 41, 0, 0, 0, 18, 36, 0, 4, 41, 0, 23, 0, 0, 0, 0, 35, 0, 41, 0, 41, 31, 0, 41, 0","12, 9, 2, 26, 32, 41, 0, 36, 0, 8, 5, 0, 31, 11, 29, 24, 0, 18, 40, 27, 20, 0, 7, 19, 3",1,0
129,N_25_PL_0.25_R_0.25_V_12,"0, 41, 0, 0, 0, 18, 36, 0, 4, 41, 0, 23, 0, 0, 0, 0, 35, 0, 41, 0, 41, 31, 0, 41, 0","12, 9, 2, 26, 32, 41, 0, 36, 0, 8, 5, 0, 31, 11, 29, 24, 0, 18, 40, 27, 20, 0, 7, 19, 3",5,0
130,N_25_PL_0.25_R_0.25_V_12,"0, 41, 0, 0, 0, 18, 36, 0, 4, 41, 0, 23, 0, 0, 0, 0, 35, 0, 41, 0, 41, 31, 0, 41, 0","12, 9, 2, 26, 32, 41, 0, 36, 0, 8, 5, 0, 31, 11, 29, 24, 0, 18, 40, 27, 20, 0, 7, 19, 3",10,0
131,N_25_PL_0.25_R_0.25_V_12,"0, 41, 0, 0, 0, 18, 36, 0, 4, 41, 0, 23, 0, 0, 0, 0, 35, 0, 41, 0, 41, 31, 0, 41, 0","12, 9, 2, 26, 32, 41, 0, 36, 0, 8, 5, 0, 31, 11, 29, 24, 0, 18, 40, 27, 20, 0, 7, 19, 3",20,0
132,N_25_PL_0.25_R_0.25_V_13,"41, 0, 0, 35, 3, 0, 21, 41, 32, 0, 0, 41, 1, 0, 0, 41, 0, 32, 0, 0, 0, 0, 0, 0, 0","28, 4, 20, 0, 41, 39, 0, 22, 0, 19, 33, 35, 41, 37, 30, 15, 33, 0, 38, 22, 21, 34, 10, 36, 8",1,0
133,N_25_PL_0.25_R_0.25_V_13,"41, 0, 0, 35, 3, 0, 21, 41, 32, 0, 0, 41, 1, 0, 0, 41, 0, 32, 0, 0, 0, 0, 0, 0, 0","28, 4, 20, 0, 41, 39, 0, 22, 0, 19, 33, 35, 41, 37, 30, 15, 33, 0, 38, 22, 21, 34, 10, 36, 8",5,0
134,N_25_PL_0.25_R_0.25_V_13,"41, 0, 0, 35, 3, 0, 21, 41, 32, 0, 0, 41, 1, 0, 0, 41, 0, 32, 0, 0, 0, 0, 0, 0, 0","28, 4, 20, 0, 41, 39, 0, 22, 0, 19, 33, 35, 41, 37, 30, 15, 33, 0, 38, 22, 21, 34, 10, 36, 8",10,0
135,N_25_PL_0.25_R_0.25_V_13,"41, 0, 0, 35, 3, 0, 21, 41, 32, 0, 0, 41, 1, 0, 0, 41, 0, 32, 0, 0, 0, 0, 0, 0, 0","28, 4, 20, 0, 41, 39, 0, 22, 0, 19, 33, 35, 41, 37, 30, 15, 33, 0, 38, 22, 21, 34, 10, 36, 8",20,0
136,N_25_PL_0.25_R_0.25_V_14,"41, 0, 41, 41, 0, 0, 41, 0, 11, 0, 17, 41, 15, 0, 34, 0, 0, 41, 0, 31, 0, 0, 0, 40, 0","12, 14, 4, 7, 30, 27, 35, 29, 0, 3, 0, 36, 0, 12, 0, 28, 36, 25, 32, 0, 33, 20, 20, 0, 19",1,0
137,N_25_PL_0.25_R_0.25_V_14,"41, 0, 41, 41, 0, 0, 41, 0, 11, 0, 17, 41, 15, 0, 34, 0, 0, 41, 0, 31, 0, 0, 0, 40, 0","12, 14, 4, 7, 30, 27, 35, 29, 0, 3, 0, 36, 0, 12, 0, 28, 36, 25, 32, 0, 33, 20, 20, 0, 19",5,0
138,N_25_PL_0.25_R_0.25_V_14,"41, 0, 41, 41, 0, 0, 41, 0, 11, 0, 17, 41, 15, 0, 34, 0, 0, 41, 0, 31, 0, 0, 0, 40, 0","12, 14, 4, 7, 30, 27, 35, 29, 0, 3, 0, 36, 0, 12, 0, 28, 36, 25, 32, 0, 33, 20, 20, 0, 19",10,0
139,N_25_PL_0.25_R_0.25_V_14,"41, 0, 41, 41, 0, 0, 41, 0, 11, 0, 17, 41, 15, 0, 34, 0, 0, 41, 0, 31, 0, 0, 0, 40, 0","12, 14, 4, 7, 30, 27, 35, 29, 0, 3, 0, 36, 0, 12, 0, 28, 36, 25, 32, 0, 33, 20, 20, 0, 19",20,0
